"Users","New_users","Avg_session","Pages_session","Sessions","P_rebound","Author","Section","Year","Month","Day","Days_count","Title_length","Subtitle_length","Content_length","anger_title","anticipation_title","disgust_title","fear_title","joy_title","sadness_title","surprise_title","trust_title","negative_title","positive_title","anger_subtitle","anticipation_subtitle","disgust_subtitle","fear_subtitle","joy_subtitle","sadness_subtitle","surprise_subtitle","trust_subtitle","negative_subtitle","positive_subtitle","anger_content","anticipation_content","disgust_content","fear_content","joy_content","sadness_content","surprise_content","trust_content","negative_content","positive_content","Topics"
29,17,202,1.34,29,82.76,"Marco Chavarría","actualidad",2024,"2",18,11,80,160,1607,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,3,3,2,2,3,2,6,11,12,NA
15,15,24,1.19,16,87.5,"Juanlu Martín","actualidad",2023,"9",28,154,75,178,1541,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,9,0,1,4,0,3,4,1,15,NA
21,20,3,1.05,21,95.24,"Camila Pujalví","actualidad",2023,"9",27,155,90,54,1628,2,0,1,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,1,3,4,3,5,7,4,11,"Animales"
25,6,140,1.17,29,86.21,"Camila Pujalví","actualidad",2024,"2",6,23,49,133,1886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,20,3,19,"Lenguaje"
228,188,974,2.18,320,65.62,"Camila Pujalví","actualidad",2024,"3",8,-8,89,93,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,2,3,7,4,7,2,18,7,22,NA
15,14,175,1.33,15,73.33,"Marco Chavarría","actualidad",2023,"10",24,128,56,105,2172,1,0,1,1,0,1,0,0,2,1,1,0,1,1,1,1,0,0,1,2,12,6,15,13,11,16,2,7,23,20,NA
52,52,28,1.34,56,69.64,"Valeria López","actualidad",2023,"12",4,87,52,89,2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,2,5,1,7,11,15,"Animales"
25,5,1,1.07,27,96.3,"Camila Pujalví","actualidad",2024,"2",13,16,37,104,1945,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,5,1,3,0,1,0,1,11,8,16,"Lenguaje"
42,41,17,1.05,44,95.45,"Marco Chavarría","actualidad",2023,"11",26,95,35,112,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,6,1,15,"Lenguaje"
77,70,32,1.17,77,87.01,"Nora Villalba","actualidad",2024,"1",12,48,111,88,1806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,3,5,4,4,7,9,21,"Instagram"
22,21,12,1.18,22,77.27,"Marco Chavarría","actualidad",2023,"11",22,99,46,119,2657,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,4,9,4,4,7,6,2,21,14,37,NA
20,17,493,1.48,25,80,"Camila Pujalví","actualidad",2023,"8",22,191,36,103,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,4,16,4,8,4,7,15,23,"Animales"
73,72,265,1.45,77,84.42,"Juanlu Martín","actualidad",2023,"11",12,109,53,140,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,0,8,3,3,0,12,11,18,"Lenguaje"
55,53,167,1.21,67,85.07,"Juanlu Martín","actualidad",2023,"11",29,92,80,74,1813,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,3,1,6,1,7,5,7,3,10,12,16,"Lenguaje"
21,17,7,1.19,21,80.95,"Camila Pujalví","actualidad",2023,"9",18,164,65,136,2347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,5,6,5,2,6,5,3,10,10,30,"Lenguaje"
104,44,42,1.14,117,83.76,"Camila Pujalví","actualidad",2024,"2",7,22,68,126,1224,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,1,1,6,4,10,"Lenguaje"
179,124,26,1.2,178,89.33,"Martín García","actualidad",2024,"2",6,23,79,133,3654,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,1,1,12,9,21,NA
40,10,11,1.26,39,89.74,"Martín García","actualidad",2024,"1",12,48,74,76,1969,2,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,5,1,3,8,3,4,2,5,8,9,"Estados Unidos"
440,185,46,1.24,462,78.79,"Camila Pujalví","actualidad",2024,"1",8,52,89,134,1720,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,6,6,5,3,6,6,6,11,7,NA
52,49,677,1.77,57,85.96,"Camila Pujalví","actualidad",2023,"11",8,113,39,102,1550,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,3,0,3,0,1,0,6,9,7,"Lenguaje"
35,31,2,1.08,39,94.87,"Marco Chavarría","actualidad",2023,"12",29,62,72,129,1420,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,10,1,9,6,3,21,"Animales"
143,117,245,1.4,149,86.58,"Marco Chavarría","actualidad",2024,"1",9,51,119,135,2054,0,0,0,1,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,6,1,15,"Instagram"
70,35,114,1.3,70,78.57,"Camila Pujalví","actualidad",2024,"1",8,52,48,155,1766,0,1,0,2,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,4,1,7,2,7,9,5,6,6,11,17,NA
16,2,0,1.6,10,100,"Marco Chavarría","actualidad",2024,"1",29,31,99,126,1126,1,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,2,0,9,4,4,2,4,9,8,NA
30,30,110,1.23,30,83.33,"Camila Pujalví","actualidad",2023,"7",30,214,77,219,650,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,3,0,1,4,0,1,1,1,3,4,6,NA
14,14,240,1.21,14,85.71,"Juanlu Martín","actualidad",2023,"12",20,71,48,171,1619,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,8,0,0,11,1,6,8,2,16,NA
16,12,0,1.07,15,100,"Camila Pujalví","actualidad",2023,"8",1,212,86,161,2197,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,3,0,1,1,1,4,4,2,10,NA
14,14,605,1.8,15,80,"Patricia Poncini","actualidad",2023,"9",19,163,67,152,2833,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3,5,4,10,3,6,4,10,14,21,NA
360,178,20,1.2,371,84.1,"Camila Pujalví","actualidad",2024,"1",29,31,83,181,2138,1,2,0,1,0,1,0,1,1,0,0,3,1,0,0,0,1,2,1,3,5,14,3,13,3,7,5,13,12,17,NA
32,32,150,1.31,32,81.25,"Camila Pujalví","actualidad",2023,"9",18,164,64,98,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,5,6,1,3,1,15,16,23,NA
46,42,646,1.76,46,80.43,"Camila Pujalví","actualidad",2023,"9",19,163,65,132,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,7,0,10,15,18,"Lenguaje"
20,20,1286,2.5,24,66.67,"Camila Pujalví","actualidad",2023,"11",12,109,49,103,891,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,10,"Lenguaje"
16,15,0,1,19,100,"Camila Pujalví","actualidad",2023,"10",2,150,69,85,1224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,2,2,1,0,7,7,11,NA
55,50,219,1.35,57,85.96,"Camila Pujalví","actualidad",2023,"10",31,121,80,126,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0,8,1,9,17,11,"Lenguaje"
31,27,414,1.44,34,88.24,"Enrique Castilla","actualidad",2023,"11",6,115,65,102,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,2,3,1,0,8,2,16,"Lenguaje"
47,46,383,1.51,53,83.02,"Marco Chavarría","actualidad",2023,"11",14,107,64,125,796,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,4,3,0,2,2,2,1,6,9,9,"Lenguaje"
42,41,369,1.55,44,81.82,"Marco Chavarría","actualidad",2023,"12",17,74,50,112,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,1,0,2,0,7,6,14,"Lenguaje"
17,17,62,1.32,19,63.16,"Camila Pujalví","actualidad",2023,"11",11,110,65,145,804,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,1,0,1,0,0,3,5,1,11,"Lenguaje"
21,17,8,1.14,22,77.27,"Marco Chavarría","actualidad",2023,"10",28,124,85,111,2725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,2,0,11,8,16,"Lenguaje"
19,17,414,1.53,19,78.95,"Camila Pujalví","actualidad",2023,"11",7,114,58,133,1243,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,5,0,1,0,1,1,1,0,6,1,11,"Lenguaje"
20,20,458,1.55,22,72.73,"Valeria López","actualidad",2023,"12",12,79,76,99,1786,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,4,6,9,"Lenguaje"
60,58,1142,2.34,61,83.61,"Camila Pujalví","actualidad",2023,"10",7,145,68,65,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,1,3,1,3,0,10,7,24,"Lenguaje"
21,21,611,1.68,22,95.45,"Valeria López","actualidad",2023,"12",14,77,68,83,1725,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,2,2,5,5,2,4,5,4,4,16,10,30,"Lenguaje"
25,25,2220,3.56,27,77.78,"Camila Pujalví","actualidad",2023,"11",2,119,65,101,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,1,1,1,2,8,5,17,"Lenguaje"
19,19,3,1.05,21,95.24,"Juanlu Martín","actualidad",2023,"12",4,87,49,175,1348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,5,1,9,1,4,7,2,4,11,4,15,"Lenguaje"
16,16,140,1.19,16,93.75,"Camila Pujalví","actualidad",2023,"10",11,141,81,143,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,3,4,2,1,14,10,23,"Lenguaje"
21,17,396,1.58,26,76.92,"Camila Pujalví","actualidad",2023,"11",8,113,81,108,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,2,0,0,7,1,12,"Lenguaje"
19,17,120,1.26,19,78.95,"Marco Chavarría","actualidad",2023,"11",1,120,74,78,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,2,1,1,10,7,18,"Lenguaje"
21,21,7,1.18,22,72.73,"Patricia Poncini","actualidad",2023,"8",31,182,53,119,2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,3,8,4,6,12,6,24,NA
12,12,0,1,12,100,"Camila Pujalví","actualidad",2023,"10",12,140,67,81,1746,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,3,3,8,"Psicología"
32,24,128,1.33,30,83.33,"Camila Pujalví","actualidad",2024,"1",29,31,87,120,1906,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,6,3,2,6,4,3,6,8,10,NA
63,58,38,1.11,66,87.88,"Camila Pujalví","actualidad",2023,"7",31,213,71,187,3288,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,1,5,5,4,10,2,4,3,9,18,19,"Animales"
12,7,19,1.33,12,75,"Enrique Castilla","actualidad",2023,"11",30,91,80,115,1808,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,6,6,2,7,2,9,5,7,12,12,NA
20,2,6,1.3,20,85,"Marco Chavarría","actualidad",2024,"2",5,24,52,123,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,2,0,2,9,2,13,"Lenguaje"
58,51,119,1.26,58,84.48,"Marco Chavarría","actualidad",2024,"1",16,44,47,151,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,2,1,6,4,12,"Lenguaje"
116,114,230,1.39,128,80.47,"Marco Chavarría","actualidad",2023,"10",19,133,33,90,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,4,3,5,2,9,16,15,"Lenguaje"
25,25,967,2.07,29,75.86,"Camila Pujalví","actualidad",2023,"11",13,108,80,87,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,6,2,5,5,3,3,11,11,20,"Lenguaje"
123,107,316,1.51,128,78.91,"Marco Chavarría","actualidad",2024,"2",6,23,106,142,1373,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,3,0,2,2,4,5,11,7,8,NA
25,9,5,3.12,16,87.5,"Marco Chavarría","actualidad",2024,"1",10,50,90,112,1361,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,5,1,1,9,1,3,10,5,16,NA
25,21,132,1.23,26,80.77,"Camila Pujalví","actualidad",2023,"8",8,205,83,102,1654,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,3,6,0,5,0,6,6,9,"Estados Unidos"
12,2,7,1,12,91.67,"Camila Pujalví","actualidad",2024,"1",10,50,111,102,1600,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,3,0,3,2,2,1,9,5,11,NA
229,223,376,1.58,267,72.28,"Camila Pujalví","actualidad",2023,"10",1,151,76,93,3087,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,9,6,8,6,13,6,15,30,52,NA
109,101,281,1.41,123,86.99,"Carla Castejón","actualidad",2023,"9",11,171,36,107,2321,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,13,3,7,4,6,4,5,8,14,NA
177,72,82,1.31,180,81.67,"Marco Chavarría","actualidad",2024,"2",5,24,74,129,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,2,2,1,1,9,8,20,"Lenguaje"
16,16,1368,2.45,20,80,"Marco Chavarría","actualidad",2023,"9",21,161,48,91,2926,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,2,0,0,13,5,6,11,9,5,7,15,29,NA
202,200,61,1.2,215,83.72,"Josep Guijarro","actualidad",2023,"11",23,98,35,146,4240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,3,4,4,5,9,13,NA
47,41,48,1.12,49,83.67,"Valeria López","actualidad",2023,"12",1,90,85,74,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,8,2,2,3,2,4,7,6,8,NA
16,14,13,1.25,16,93.75,"Camila Pujalví","actualidad",2024,"2",6,23,99,146,1192,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,1,2,2,3,1,3,1,3,2,5,9,9,"Animales"
318,124,20,1.3,287,85.02,"Camila Pujalví","actualidad",2024,"1",25,35,98,152,2495,1,1,0,2,0,0,0,1,2,2,1,0,0,1,0,0,0,3,2,3,1,12,0,4,6,0,4,29,4,39,NA
21,20,0,1.05,21,95.24,"Enrique Castilla","actualidad",2023,"12",27,64,68,148,1934,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,2,1,3,8,9,"Animales"
39,39,56,1.15,40,85,"Marco Chavarría","actualidad",2023,"11",30,91,93,116,1350,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,1,1,1,5,5,11,"Animales"
12,11,736,2.07,14,78.57,"Camila Pujalví","actualidad",2023,"10",23,129,68,100,1658,1,1,0,3,0,0,1,0,3,1,0,0,0,1,0,0,0,0,1,1,7,4,2,13,0,5,3,2,19,15,"Enfermedades"
606,565,27,1.11,612,90.69,"Marco Chavarría","actualidad",2024,"1",19,41,84,126,1453,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,10,6,15,2,16,11,5,24,7,"Estados Unidos"
46,44,41,1.08,49,89.8,"Juanlu Martín","actualidad",2023,"12",29,62,84,170,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,2,3,2,1,1,4,4,4,NA
14,5,1306,3.4,15,60,"Martín García","actualidad",2024,"1",15,45,110,128,2410,0,1,0,0,2,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,7,0,5,6,0,7,3,4,12,11,NA
21,12,346,1.5,20,85,"Camila Pujalví","actualidad",2024,"1",25,35,112,133,1790,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,2,5,0,9,3,9,10,10,NA
17,14,135,1.18,17,94.12,"Marco Chavarría","actualidad",2024,"1",23,37,93,93,1369,0,4,0,0,5,0,3,1,0,6,0,1,0,0,0,0,0,0,0,2,5,9,2,4,5,8,8,5,11,15,NA
1189,562,34,1.17,1181,84.59,"Marco Chavarría","actualidad",2024,"1",16,44,131,91,1407,0,1,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,2,2,8,5,11,"Cine"
60,56,318,1.45,67,77.61,"Camila Pujalví","actualidad",2023,"8",3,210,117,175,1418,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,7,1,4,6,2,4,8,7,9,NA
183,180,275,1.41,198,82.32,"Camila Pujalví","actualidad",2023,"8",9,204,80,208,3903,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,5,5,4,6,7,6,0,18,16,32,NA
21,20,53,1.29,21,80.95,"Marco Chavarría","actualidad",2023,"12",19,72,84,146,1374,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,2,1,2,1,10,3,5,12,2,8,4,8,20,9,NA
20,20,672,1.86,21,71.43,"Camila Pujalví","actualidad",2023,"7",31,213,76,84,4047,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,1,3,1,12,3,10,12,18,2,23,27,36,NA
12,10,81,1.07,14,85.71,"Camila Pujalví","actualidad",2023,"8",9,204,85,86,2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,13,4,5,1,13,13,15,NA
24,22,273,1.23,26,76.92,"Camila Pujalví","actualidad",2023,"8",31,182,145,142,2141,1,1,1,1,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,4,12,4,4,11,4,5,16,3,26,NA
22,17,0,1,24,100,"Marco Chavarría","actualidad",2023,"9",25,157,73,178,1033,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,1,1,2,0,5,0,2,3,3,1,1,8,7,NA
31,29,1,1.09,32,93.75,"Marco Chavarría","actualidad",2023,"11",16,105,63,119,1420,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,4,7,2,10,1,3,4,2,12,8,NA
16,9,0,1.45,11,100,"Camila Pujalví","actualidad",2024,"1",5,55,84,126,1356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,9,0,1,12,2,5,12,3,28,NA
24,21,64,1.21,24,70.83,"Enrique Castilla","actualidad",2023,"11",2,119,72,168,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,8,0,16,NA
34,21,9,1.13,31,100,"Marco Chavarría","actualidad",2023,"12",28,63,88,118,1896,0,2,0,0,2,0,1,3,0,3,0,1,0,1,0,0,1,0,1,1,3,12,0,6,5,1,5,9,10,14,NA
90,36,7,1.21,86,83.72,"Marco Chavarría","actualidad",2024,"1",17,43,116,123,1428,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,4,1,1,0,2,2,4,2,1,1,7,4,8,NA
12,12,1310,2.59,17,70.59,"Valeria López","actualidad",2023,"10",9,143,70,62,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6,4,12,7,17,2,10,26,21,NA
85,76,394,1.51,101,80.2,"Marco Chavarría","actualidad",2023,"10",14,138,59,140,2662,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,3,10,3,10,4,6,7,11,13,23,"Animales"
15,14,0,1,15,100,"Camila Pujalví","actualidad",2023,"10",3,149,70,85,2180,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,6,9,6,11,10,8,7,15,12,22,NA
63,57,29,1.14,66,86.36,"Marco Chavarría","actualidad",2023,"12",28,63,78,133,1732,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,5,1,7,0,5,8,1,3,15,6,27,"Animales"
15,10,119,1.13,15,80,"Marco Chavarría","actualidad",2023,"12",28,63,78,133,1732,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,5,1,7,0,5,8,1,3,15,6,27,"Animales"
123,121,184,1.27,131,88.55,"Camila Pujalví","actualidad",2023,"9",19,163,66,108,3172,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,12,5,4,7,6,12,6,15,31,32,"Lenguaje"
45,44,1936,3.39,46,86.96,"Marco Chavarría","actualidad",2023,"10",7,145,93,100,1038,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,2,1,3,1,1,3,3,2,5,9,10,"Fútbol"
67,16,22,1.14,63,88.89,"Camila Pujalví","actualidad",2024,"1",9,51,70,160,1872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,1,2,0,2,9,0,13,NA
19,20,1450,2.95,21,52.38,"Valeria López","actualidad",2023,"12",14,77,52,68,1680,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,2,2,6,1,5,4,2,6,8,6,13,"Animales"
30,17,1,1.03,30,96.67,"Marco Chavarría","actualidad",2024,"2",12,17,93,156,1724,1,0,1,2,0,1,0,0,1,1,3,2,2,2,0,4,1,0,4,0,11,5,12,14,1,13,8,4,16,8,NA
